date,animal,supplement,weight
20230321,m25,restrained_4%CA,27.3
20230321,m26,restrained_4%CA,28.1
20230321,m27,restrained_4%CA,27.6
20230321,m29,restrained_4%CA,26.4
20230321,m30,restrained_4%CA,24.0
20230321,m33,restrained_4%CA,26.2
20230322,m20,restrained_4%CA,26.3
20230322,m21,restrained_4%CA,25.3
20230322,m22,restrained_4%CA,24.6
20230322,m23,restrained_4%CA,28.4
20230322,m24,restrained_4%CA,25.5
20230322,m25,restrained_4%CA,25.8
20230322,m26,restrained_4%CA,29
20230322,m27,restrained_4%CA,28.8
20230322,m29,restrained_4%CA,27.3
20230322,m30,restrained_4%CA,24.8
20230322,m33,restrained_4%CA,25.3
20230323,m20,restrained_4%CA,27.8
20230323,m21,restrained_4%CA,26.2
20230323,m22,restrained_4%CA,25.7
20230323,m23,restrained_4%CA,29.5
20230323,m24,restrained_4%CA,26.7
20230323,m25,restrained_4%CA,27.3
20230323,m26,restrained_4%CA,27.3
20230323,m27,restrained_4%CA,27.3
20230323,m29,restrained_4%CA,25.9
20230323,m30,restrained_4%CA,23.6
20230323,m33,restrained_4%CA,24.1
20230324,m20,restrained_4%CA,26.4
20230324,m21,restrained_4%CA,25.4
20230324,m22,restrained_4%CA,24.6
20230324,m23,restrained_4%CA,28.1
20230324,m24,restrained_4%CA,25.6
20230324,m25,restrained_4%CA,25.9
20230324,m26,restrained_4%CA,28
20230324,m27,restrained_4%CA,29
20230324,m29,restrained_4%CA,27.1
20230324,m30,restrained_4%CA,24.9
20230325,m20,restrained_4%CA,27.4
20230325,m21,restrained_4%CA,26.1
20230325,m22,restrained_4%CA,25.7
20230325,m23,restrained_4%CA,29.9
20230325,m24,restrained_4%CA,26.9
20230325,m25,restrained_4%CA,27
20230325,m26,restrained_4%CA,27
20230325,m27,restrained_4%CA,27.5
20230325,m29,restrained_4%CA,26.1
20230326,m20,restrained_4%CA,
20230326,m21,restrained_4%CA,
20230326,m22,restrained_4%CA,
20230326,m23,restrained_4%CA,
20230326,m24,restrained_4%CA,
20230326,m25,restrained_4%CA,
20230326,m26,restrained_4%CA,
20230326,m27,restrained_4%CA,
20230326,m29,restrained_4%CA,
20230326,m30,restrained_4%CA,
20230328,m20,restrained_4%CA,26.3
20230328,m21,restrained_4%CA,25.7
20230328,m22,restrained_4%CA,25.1
20230328,m23,restrained_4%CA,28.4
20230328,m24,restrained_4%CA,25.2
20230328,m25,restrained_4%CA,25.9
20230328,m26,restrained_4%CA,28.3
20230328,m27,restrained_4%CA,29.2
20230328,m29,restrained_4%CA,27
20230328,m30,restrained_4%CA,25.7
20230330,m20,restrained_4%CA,26.2
20230330,m21,restrained_4%CA,25.7
20230330,m22,restrained_4%CA,25
20230330,m23,restrained_4%CA,28.8
20230330,m24,restrained_4%CA,25.2
20230330,m25,restrained_4%CA,25.8
20230330,m26,restrained_4%CA,27.6
20230330,m27,restrained_4%CA,28.2
20230330,m29,restrained_4%CA,26.8
20230330,m30,restrained_4%CA,25.8
20230402,m20,restrained_4%CA,26.5
20230402,m21,restrained_4%CA,25.6
20230402,m22,restrained_4%CA,25.4
20230402,m23,restrained_4%CA,29.7
20230402,m24,restrained_4%CA,26.5
20230402,m25,restrained_4%CA,27
20230402,m26,restrained_4%CA,26
20230402,m27,restrained_4%CA,26.2
20230402,m29,restrained_4%CA,24.7
20230402,m30,restrained_4%CA,23.4
20230403,m20,restrained_4%CA,25.6
20230403,m21,restrained_4%CA,24.7
20230403,m22,restrained_4%CA,24.4
20230403,m23,restrained_4%CA,28.5
20230403,m24,restrained_4%CA,25.1
20230403,m25,restrained_4%CA,25.7
20230403,m26,restrained_4%CA,27.1
20230403,m27,restrained_4%CA,27.7
20230403,m29,restrained_4%CA,26.1
20230403,m30,restrained_4%CA,25
20230405,m20,restrained_4%CA,25.7
20230405,m21,restrained_4%CA,24.9
20230405,m22,restrained_4%CA,24.6
20230405,m23,restrained_4%CA,28.5
20230405,m24,restrained_4%CA,25.3
20230405,m25,restrained_4%CA,25.9
20230405,m26,restrained_4%CA,26.8
20230405,m27,restrained_4%CA,27.7
20230405,m29,restrained_4%CA,25.5
20230405,m30,restrained_4%CA,24.3
